YYYY,DOY,Hour,X(au),Y(au),Z(au)
2023,1,0,0.8966,0.3998,-0.0509
2023,1,1,0.8963,0.4005,-0.0510
2023,1,2,0.8960,0.4012,-0.0511
2023,1,3,0.8957,0.4018,-0.0512
2023,1,4,0.8954,0.4025,-0.0513
2023,1,5,0.8951,0.4031,-0.0514
2023,1,6,0.8948,0.4038,-0.0514
2023,1,7,0.8945,0.4045,-0.0515
2023,1,8,0.8942,0.4051,-0.0516
2023,1,9,0.8939,0.4058,-0.0517
2023,1,10,0.8936,0.4064,-0.0518
2023,1,11,0.8933,0.4071,-0.0519
2023,1,12,0.8929,0.4077,-0.0519
2023,1,13,0.8926,0.4084,-0.0520
2023,1,14,0.8923,0.4090,-0.0521
2023,1,15,0.8920,0.4097,-0.0522
2023,1,16,0.8917,0.4104,-0.0523
2023,1,17,0.8914,0.4110,-0.0524
2023,1,18,0.8911,0.4117,-0.0524
2023,1,19,0.8908,0.4123,-0.0525
2023,1,20,0.8905,0.4130,-0.0526
2023,1,21,0.8902,0.4136,-0.0527
2023,1,22,0.8899,0.4143,-0.0528
2023,1,23,0.8896,0.4149,-0.0529
2023,2,0,0.8892,0.4156,-0.0529
2023,2,1,0.8889,0.4162,-0.0530
2023,2,2,0.8886,0.4169,-0.0531
2023,2,3,0.8883,0.4176,-0.0532
2023,2,4,0.8880,0.4182,-0.0533
2023,2,5,0.8877,0.4189,-0.0534
2023,2,6,0.8874,0.4195,-0.0534
2023,2,7,0.8871,0.4202,-0.0535
2023,2,8,0.8867,0.4208,-0.0536
2023,2,9,0.8864,0.4215,-0.0537
2023,2,10,0.8861,0.4221,-0.0538
2023,2,11,0.8858,0.4228,-0.0539
2023,2,12,0.8855,0.4234,-0.0539
2023,2,13,0.8852,0.4241,-0.0540
2023,2,14,0.8848,0.4247,-0.0541
2023,2,15,0.8845,0.4254,-0.0542
2023,2,16,0.8842,0.4260,-0.0543
2023,2,17,0.8839,0.4267,-0.0544
2023,2,18,0.8836,0.4273,-0.0544
2023,2,19,0.8832,0.4280,-0.0545
2023,2,20,0.8829,0.4286,-0.0546
2023,2,21,0.8826,0.4293,-0.0547
2023,2,22,0.8823,0.4299,-0.0548
2023,2,23,0.8820,0.4306,-0.0548
2023,3,0,0.8816,0.4312,-0.0549
2023,3,1,0.8813,0.4319,-0.0550
2023,3,2,0.8810,0.4325,-0.0551
2023,3,3,0.8807,0.4332,-0.0552
2023,3,4,0.8803,0.4338,-0.0553
2023,3,5,0.8800,0.4345,-0.0553
2023,3,6,0.8797,0.4351,-0.0554
2023,3,7,0.8794,0.4357,-0.0555
2023,3,8,0.8790,0.4364,-0.0556
2023,3,9,0.8787,0.4370,-0.0557
2023,3,10,0.8784,0.4377,-0.0558
2023,3,11,0.8781,0.4383,-0.0558
2023,3,12,0.8777,0.4390,-0.0559
2023,3,13,0.8774,0.4396,-0.0560
2023,3,14,0.8771,0.4403,-0.0561
2023,3,15,0.8768,0.4409,-0.0562
2023,3,16,0.8764,0.4416,-0.0562
2023,3,17,0.8761,0.4422,-0.0563
2023,3,18,0.8758,0.4428,-0.0564
2023,3,19,0.8754,0.4435,-0.0565
2023,3,20,0.8751,0.4441,-0.0566
2023,3,21,0.8748,0.4448,-0.0567
2023,3,22,0.8744,0.4454,-0.0567
2023,3,23,0.8741,0.4461,-0.0568
2023,4,0,0.8738,0.4467,-0.0569
2023,4,1,0.8734,0.4473,-0.0570
2023,4,2,0.8731,0.4480,-0.0571
2023,4,3,0.8728,0.4486,-0.0571
2023,4,4,0.8724,0.4493,-0.0572
2023,4,5,0.8721,0.4499,-0.0573
2023,4,6,0.8718,0.4506,-0.0574
2023,4,7,0.8714,0.4512,-0.0575
2023,4,8,0.8711,0.4518,-0.0575
2023,4,9,0.8707,0.4525,-0.0576
2023,4,10,0.8704,0.4531,-0.0577
2023,4,11,0.8701,0.4538,-0.0578
2023,4,12,0.8697,0.4544,-0.0579
2023,4,13,0.8694,0.4550,-0.0580
2023,4,14,0.8690,0.4557,-0.0580
2023,4,15,0.8687,0.4563,-0.0581
2023,4,16,0.8684,0.4570,-0.0582
2023,4,17,0.8680,0.4576,-0.0583
2023,4,18,0.8677,0.4582,-0.0584
2023,4,19,0.8673,0.4589,-0.0584
2023,4,20,0.8670,0.4595,-0.0585
2023,4,21,0.8667,0.4601,-0.0586
2023,4,22,0.8663,0.4608,-0.0587
2023,4,23,0.8660,0.4614,-0.0588
2023,5,0,0.8656,0.4620,-0.0588
2023,5,1,0.8653,0.4627,-0.0589
2023,5,2,0.8649,0.4633,-0.0590
2023,5,3,0.8646,0.4640,-0.0591
2023,5,4,0.8642,0.4646,-0.0592
2023,5,5,0.8639,0.4652,-0.0592
2023,5,6,0.8635,0.4659,-0.0593
2023,5,7,0.8632,0.4665,-0.0594
2023,5,8,0.8628,0.4671,-0.0595
2023,5,9,0.8625,0.4678,-0.0596
2023,5,10,0.8621,0.4684,-0.0597
2023,5,11,0.8618,0.4690,-0.0597
2023,5,12,0.8614,0.4697,-0.0598
2023,5,13,0.8611,0.4703,-0.0599
2023,5,14,0.8607,0.4709,-0.0600
2023,5,15,0.8604,0.4716,-0.0601
2023,5,16,0.8600,0.4722,-0.0601
2023,5,17,0.8597,0.4728,-0.0602
2023,5,18,0.8593,0.4735,-0.0603
2023,5,19,0.8590,0.4741,-0.0604
2023,5,20,0.8586,0.4747,-0.0605
2023,5,21,0.8583,0.4754,-0.0605
2023,5,22,0.8579,0.4760,-0.0606
2023,5,23,0.8576,0.4766,-0.0607
2023,6,0,0.8572,0.4773,-0.0608
2023,6,1,0.8568,0.4779,-0.0609
2023,6,2,0.8565,0.4785,-0.0609
2023,6,3,0.8561,0.4791,-0.0610
2023,6,4,0.8558,0.4798,-0.0611
2023,6,5,0.8554,0.4804,-0.0612
2023,6,6,0.8551,0.4810,-0.0613
2023,6,7,0.8547,0.4817,-0.0613
2023,6,8,0.8543,0.4823,-0.0614
2023,6,9,0.8540,0.4829,-0.0615
